RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Latitude,Longitude,PlaceNotes,Classification,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,ClassificationNotes,Language,LanguageNotes,TextNeeded,NoKnownText,Fragment,Source,SourceOther,Edition,EditionOther,SourceNotes,TranscriptionNotes,BaseText,OCR,Transcription,GeneralNotes,BiblioRefs
348,1332,1332,,,,,Mayfield,,Canterbury,England,,,,51.02,0.26,,Provincial,Simon Mepeham,Simon Meopham,1328,1333,,,Latin,,,,,,,"Wilkins II, 560-561","Mansi 25, col 976-980",https://books.google.com/books?id=FRtUAAAAcAAJ,Reviewed ,GoogleBooksData Capture,,,,
349,1336,1336,10,17,,15-17 October,Bourges,Bourges,Bourges,France,,,,47.0844,2.3964,,Provincial,Foucauld de Rochechouart,,,,,,Latin,,,,,,,"Mansi 25, col 1059-1068","Labbe, Sacrosancta Concilia, 11, 2522-2529",https://books.google.com/books?id=SI1EAAAAcAAJ,Reviewed ,GoogleBooksData Capture,,,,
350,1336,1336,,,,,Château-Gontier,Tours,Tours,France,,,,47.8286,-0.7028,,Provincial,,,,,,,Latin,,,,,,,"Avril, Tours, 351-52",,,Reviewed ,Hard Copy Scan,Yes,,,
351,1337,1337,12,3,,,Saint-Ruf,Avignon,"Arles, Embrun, Aix-en-Provence",France,,,,43.9329,4.812217,,Provincial,,,,,,,Latin,,,,,,,"Albanes, Gallia christiana novissima, Arles, cols. 640-655, no. 1538","Giraud, Essai sur l'histoire du droit français au moyen âge, 2, pp88-128; Mansi 25, col 1086-1108",http://gallica.bnf.fr/ark:/12148/bpt6k941738/f324.image,Reviewed ,GoogleBooksWebDownload,Yes,Abbreviated sections in Albanes filled in from Giraud,,
352,1339,1339,4,25,,council held 25-27 April; constitutions read out on the first day,Aquileia,Aquileia,Aquileia,Italy,,,,45.766667,13.366667,,Provincial,,,,,,,,,,,,,,"Labbe-Cossart, Sacrosancta concilia, coll 533-50","Mansi 25, col 1110-",https://books.google.com/books?id=uYpEAAAAcAAJ,Not Started,GoogleBooksWebDownload,,,,
353,1339,1339,4,7,,,Padua,Padua,Aquileia,Italy,D175,,,45.416667,11.866667,,Diocesan,Ildebrando Conti,,1319,1352,,,Latin,,,,,,,"Ceccon, SInodi diocesane, 187-199","Mansi 25, col 1132-44",large passages are lifted from the 1285 Padua statutes of the brotherhood of parish rectors,Reviewed ,GoogleBooksWebDownload,Yes,,,
354,1339,1339,5,19,,,Toledo,Toledo,Toledo,Spain,,,,39.856667,-4.024444,,Provincial,,,,,,,Latin,,,,,,,"Sanchez Herrero, Concilios y sinodos Toledanos, 201-4","Mansi 25, col 1144-1148",,In Process,GoogleBooksLibrary ScanHard Copy Scan,,,,
355,1342,1342,10,10,,,London,,Canterbury,England,,,,51.507222,-0.1275,,Provincial,John Stratford,,,,,,Latin,,,,,,,"Records of Convocation, vol. 3: Canterbury, pp189-199","Mansi 25, col 1158-1168; Wilkins, II, 696-702",,Reviewed ,Library ScanHard Copy Scan,,,"see Bolton, ""Council of London of 1342""",
356,1342,1342,10,25,,,London,London,Canterbury,England,,,,51.507222,-0.1275,,Provincial,,,,,,,Latin,,,,,,,"Records of Convocation, vol. 3: Canterbury, pp203-219","Mansi 25, col 1168-1184; Wilkins II, 702-709",,Reviewed ,Library ScanHard Copy Scan,,,,
357,1347,1347,,,,Mansi gives 1346; Leinweber gives 1347,Paris,Paris,Sens,France,,,,48.24754,3.287659,,Provincial,,,,,,,Latin,,,,,,,"Mansi 26, col 15-24",,,Reviewed ,GoogleBooksData Capture,,,,
358,1320,1320,4,28,,"date from Records of Convocation, Ireland, p146",Dublin,Dublin,Dublin,Ireland,,,,53.347778,-6.259722,,Provincial,Alexander de Bicknor,,1317,1349,,,Latin,,,,,,,"Records of Convocation, XVI: Ireland, pp146-158","Mansi 26, col 109-118",,Reviewed ,Library ScanHard Copy Scan,,,,
359,1320,1317x1325 ,,,Yes,"dating from Bray, ROC; Wilkins dates these to 1320",[Kilkenny],Ossory,Dublin,Ireland,D530,,,52.6525,-7.256944,,Diocesan,,,,,,,Latin,,,,,,,"Records of Convocation 16, pp. 136-142","Wilkins, Concilia, 501-506",,Reviewed ,Library ScanHard Copy Scan,,,,
360,1352,1352,,,,,Dublin,Dublin,Dublin,Ireland,,,,53.347778,-6.259722,,Provincial,John of St. Paul,,1349,1362,,,Latin,,,,,,,"Records of Convocation XVI: Ireland, 166-171",,,Reviewed ,Library ScanHard Copy Scan,,,,
361,1367,1367,,,,,Dublin,Dublin,Dublin,Ireland,,,,53.347778,-6.259722,,Provincial,Thomas Minot,,1363,1375,,,Latin,,,,,,,"Records of Convocation XVI: Ireland, 171-190",,,Reviewed ,Library ScanHard Copy Scan,,,,
362,1347,1347,4,24,,,Alcalá de Henares,Toledo,Toledo,Spain,,,,40.466667,-3.366667,,Provincial,,,,,,,Latin,,,,,,,"Sanchez Herrero, Concilios y sinodos Toledanos, 211-13","Mansi 26, col 124-126",,In Process,Library ScanGoogleBooksHard Copy Scan,,,,
363,1350,1350,,,,,Arezzo,Arezzo,[Holy See],Italy,D021,,,43.46667,11.88333,directly dependent on Holy See,Diocesan,,,,,,,Latin,,,,Yes,,,"Mansi 26, col 213-220",,"fragmentary, except for list of titles, which is complete",Reviewed ,GoogleBooksData Capture,,,,
364,1350,1350,5,14,,8-14 May,Padua,Padua,Aquileia,Italy,,,,45.416667,11.866667,,Legatine,Guy of Boulogne,Guido di Monfort,,,,"Provincial council held by Guy de Boulogne, Cardinal Presbyter of Santa Cecilia and Apostolic legate in Lombardy",Latin,,,,,,,"Mansi 26, col 221-236","Concilia Papiensia, 198-215",transcription from Mansi; corrected against Concilia Papiensia,Reviewed ,GoogleBooksData Capture,,,"Jugie, Legation, 57-58",
365,1351,1351,11,,,,Béziers,Béziers,Narbonne,France,,,,43.347615,3.218991,,Provincial,Pierre de la Jugie,,,,,,Latin,,,,,,,"Mansi 26, col 237-250",,,Reviewed ,GoogleBooksData Capture,,,,
366,1257,1257,,,,"part of Synodicum Nicosiense, compiled ca. 1340 with some later additions",Nicosia,Nicosia,Nicosia,Cyprus,D746,,,35.166667,33.366667,Raised to Archbishopric in 1197,Diocesan,Hugh of Fagiano,Ugo di Fagiano,1251,1261,,,Latin,,,,,,,"Schabel, Synodicum Nicosiense, 90-115",,,Reviewed ,Hard Copy Scan,Yes,,,
367,1366,1366,3,12,,Mansi incorrectly dates this to 1365 (along with other earlier editions),Angers,Angers,Tours,France,,,,47.473612,-0.554167,,Provincial,,,,,,,Latin,,,,,,,"Avril, Tours, 373-396",,,Reviewed ,Hard Copy Scan,Yes,,,
369,1368,1368,6,6,,May 18 - June 6,Lavaur,,"Narbonne, Toulouse, Auch",France,,,,43.699722,1.819722,,Provincial,,,,,,,Latin,,,,,,,"Mansi 26, col 473-548","Concilia Galliae Narbonensis, ed Baluze, pp124-298",Baluze: https://books.google.com/books?id=SsLREE1fIegC,Reviewed ,GoogleBooksData Capture,,,,
370,1374,1374,4,15,,,Narbonne,Narbonne,Narbonne,France,,,,43.1836,3.0042,,Provincial,,,,,,,Latin,,,,,,,"Mansi 26, col 587-608",,,Reviewed ,GoogleBooksData Capture,,,,
371,1374,1374,0,,,,Benevento,Benevento,Benevento,Italy,,,,41.133333,14.783333,,Provincial,,,,,,"basically a ""Liber provincialis""",,,,,,,,"Synodicon Beneventanensis, 77-292","Mansi 26, col 619-656; Synodicon Beneventanensis (1724), 66-244.",http://gallica.bnf.fr/ark:/12148/bpt6k51035w/f43.item.zoom,Not Started,GoogleBooksWebDownload,,[need to sort out relationship between SB and Mansi editions],,
372,1388,1388,,,,,Palermo,Palermo,Palermo,Italy,,,,38.116667,13.366667,,Provincial,Ludovico Bonito,,,,,,Latin,,,,,,,"Mansi 26, col 745-754",,,Reviewed ,GoogleBooksData Capture,,,,
373,1219,1219 (ca.),,,Yes,"dating given by Gremaud and upheld by Morenzoni, despite objections by some others (incl. Treyer), who push it to 1233 or later",Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,Landri de Mont,,1206,1236,,,Latin,,,,,,,"Gremaud, Documents, 29, 210-222 [no 282]",,https://books.google.com/books?id=MGmoF8riCdUC,Reviewed ,GoogleBooksData Capture,,,,
374,1300,1300 (ca.),,,Yes,"""vers 1300"" (Morenzoni, L'encadrement, 10)",Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,Boniface de Challant,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 1-13 [no 1154]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
375,1303,1303,,,,,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,Boniface de Challant,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 72-76 [no 1194]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
376,1305,1305,,,,,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 108-9 [no 1228]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
377,1310,1310,,,,,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,Aimon II de Chatillon,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 200-203 [no 1324]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
378,1320,1313x1323,,,Yes,,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 422-429  [no 1481]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
379,1320,1315x1323,,,Yes,probably date after formal promulgation of Clementines,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,,,,,,,Latin,,,,,,,"Gremaud, Documents, 31, 430-437  [no 1482]",,https://books.google.com/books?id=0xU3m734GDcC,Reviewed ,GoogleBooksData Capture,,,,
380,1346,1346,,,,,Sion,Sion,Tarentaise,Switzerland,D462,,,46.227778,7.358611,aka Sitten,Diocesan,,,,,,,Latin,,,,,,,"Gremaud, Documents, 32, 593-599  [no 1976]",,https://books.google.com/books?id=CScA2bVa2X4C,Reviewed ,GoogleBooksData Capture,,,,
381,1310,1310,3,17,,,Strasbourg,Strasbourg,Mainz,France,D558,,,48.58476,7.750576,,Diocesan,Johann I.,Jean Ier de Dirpheim,1306,1328,,,Latin,,,,,,,"Sdralek, Strassburger Diocesansynoden, 94-121",,https://books.google.com/books?id=MxoQAAAAYAAJ [downloaded],In Process,GoogleBooksWebDownload,,,,
382,1341,1341,6,11,,,Strasbourg,Strasbourg,Mainz,France,D558,,,48.58476,7.750576,,Diocesan,Berthold II von Bucheck,,1328,1353,,,Latin,,,,,,,"Sdralek, Strassburger Diocesansynoden, 123-137",,https://books.google.com/books?id=MxoQAAAAYAAJ [downloaded],In Process,GoogleBooksWebDownload,,"Frequently copies earlier texts (and edition merely cites the corresponding passages), so transcription will have to wait until those are finished.",,
383,1345,1345,7,19,,,Strasbourg,Strasbourg,Mainz,France,D558,,,48.58476,7.750576,,Diocesan,Berthold II von Bucheck,,1328,1353,,,Latin,,,,,,,"Sdralek, Strassburger Diocesansynoden, 138-155",,https://books.google.com/books?id=MxoQAAAAYAAJ [downloaded],In Process,GoogleBooksWebDownload,,"Frequently copies earlier texts (and edition merely cites the corresponding passages), so transcription will have to wait until those are finished.",,
384,1354,1354,11,18,,,Strasbourg,Strasbourg,Mainz,France,D558,,,48.58476,7.750576,,Diocesan,Johann II von Lichtenberg,,1353,1365,,,,,,,,,,"Sdralek, Strassburger Diocesansynoden, 162-166",,https://books.google.com/books?id=MxoQAAAAYAAJ [downloaded],In Process,GoogleBooksWebDownload,,"Frequently copies earlier texts (and edition merely cites the corresponding passages), so transcription will have to wait until those are finished.",,
385,1359,1359,,,,,Tortosa,Tortosa,Tarragona,Spain,D645,,,40.812778,0.523333,,Diocesan,Joan Fabra,Jean Fabri,1357,1362,,,Latin,,,,,,,"Synodicon Hispanum, XII, 645-53","Villanueva, Viage Literario, V, 346-365",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
386,1303,1303,,,,,Rieti,Rieti,[Holy See],Italy,D199,,,42.4,12.866667,directly subject to Holy See,Diocesan,Giovanni Muti Papazzurri,,1302,1339,,,Latin,,,,,"[Paris BnF lat 1556, fol. 1r-16]",,"Martene, Veterum Scriptorum, VIII, col. 1494-1513",,,Reviewed ,GoogleBooksData Capture,,,,
387,1315,1315,4,6,,,Rieti,Rieti,[Holy See],Italy,D199,,,42.4,12.866667,directly subject to Holy See,Diocesan,Giovanni Muti Papazzurri,,1302,1339,,,Latin,,,,,"[Paris BnF lat 1556, fol. 1r-16]",,"Martene, Veterum Scriptorum, VIII, cols. 1513-1529",,,Reviewed ,GoogleBooksData Capture,,,,
388,1266,1266,,,,,Città di Castello,Città di Castello,[Holy See],Italy,D076,,,43.460833,12.243889,,Diocesan,,,,,,,Latin,,,,,,,"Muzi, Memorie, II, 154-157",,https://books.google.com/books?id=CoUCJP1wB4QC,Reviewed ,GoogleBooksWebDownload,Yes,,,
389,1278,1278,,,,,Ferrara,Ferrara,Ravenna,Italy,D093,,,44.833333,11.616667,,Diocesan,,,,,,,Latin,,,,,,,"Muratori, Antiquitates, VI, col 433-438",,https://books.google.it/books?id=Mqg-AAAAcAAJ,Reviewed ,GoogleBooksData CaptureWebDownload,,,,
390,1242,1242,,,,,Tarragona,Tarragona,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Pere d'Albalat,,1237,1251,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr. II, 266-270",,,Reviewed ,Library ScanHard Copy Scan,Yes,,,
391,1277,1277,,,,,Tarragona,Tarragona,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Bernat d'Olivella,,1272,1287,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr. II, 309-11",,,Reviewed ,Library ScanHard Copy Scan,Yes,,,
392,1283,1283,,,,,Tarragona,Tarragona,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Bernat d'Olivella,,1272,1287,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr. II, 312-13",,,Reviewed ,Library ScanHard Copy Scan,Yes,,,
393,1293,1293,8,1,,,Lleida,,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Rodrigo Tello,,,,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr II, 321-22",,,Reviewed ,Hard Copy Scan,,,,
394,1294,1294,8,11,,,Lleida,,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Rodrigo Tello,,,,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr II, 324-29",,,Reviewed ,Hard Copy Scan,,,,
395,1312,1312,,,,,Tarragona,Tarragona,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Guillem de Rocaberti,,,,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, Repr II, 333-35",,,Reviewed ,Hard Copy Scan,,,,
396,1318,1318,,,,,Tarragona,Tarragona,Tarragona,Spain,,,,41.115697,1.249594,,Provincial,Ximeno Martines de Luna,,,,,,Latin,,,,,,,"Pons Guri, Constitucions conciliars, II, 336-39",,,Reviewed ,Hard Copy Scan,,,,
397,1280,1280,,,,,Huesca,Huesca,Tarragona,Spain,D650,,,42.133333,-0.416667,becomes part of Zaragoza province in 1318,Diocesan,,,,,,,,,,,,"Catedral de Jaca, Libro de la Cadena (=MS 1), fols 51-59",,"Buesa Conde, Sinodos, 88-92 [rubrics only]",,Fran scanned this for me; need to order microfilm reproduction,Not Started,,,Wait for SynHis Edition,,
403,1301,1301,12,5,,3-5 December,Lleida,Lleida,Tarragona,Spain,D646,,,41.115697,1.249594,,Diocesan,Pere del Rei,,1299,1308,,,Latin,,,,,,,"Synodicon Hispanum 13, 340-46","Villanueva, Viage, XVI, 317-323",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
404,1308,1308,12,9,,,Lleida,Lleida,Tarragona,Spain,D646,,,41.115697,1.249594,,Diocesan,Ponce de Aquilaniu,,1308,1313,,,Latin,,,,,,,"Synodicon Hispanum 13, 346-350","Villanueva, Viage, XVI, 323-326",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
405,1274,1274,11,12,,,Tortosa,Tortosa,Tarragona,Spain,D645,,,40.812778,0.523333,,Diocesan,Arnal de Jardin,Arnau de Jardí,1273,1306,,,Latin,,,,,,,"Synodicon Hispanum, XII, 617-18",,"also Villanueva, Viage Literario, V, 283-284",Reviewed ,Library ScanHard Copy Scan,Yes,,,
406,1276,1276,,,,,Seu d'Urgell,Seu d'Urgell,Tarragona,Spain,D641,,,42.366667,1.45,,Diocesan,,,,,,,,,,,,,,"Villanueva, Viage, XI, 283-308",,https://books.google.com/books?id=psxM9-Uvjl8C,Not Started,GoogleBooksWebDownload,,Wait for SynHis Edition,,
407,1353,1347x1354,,,Yes,"likely issued before 1354, or that year",Barcelona,Barcelona,Tarragona,Spain,D643,,,41.383333,2.183333,,Compilation (Diocesan),Miquel de Ricoma,,1346,1361,Yes,Issued by vicar Francesc Ruffach,Latin,,,,,,,"Synodicon Hispanum 13, 240-290","Hillgarth and Silano, Compilation, 96-157",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
408,1296,1296,9,18,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Ramón Despont,,1289,1312,,,Latin,,,,,,,"Synodicon Hispanum, XII, 730-56","Perez de Heredia, Sinodos, 617-678",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
409,1298,1298,10,21,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Ramón Despont,,1289,1312,,,Latin,,,,,,,"Synodicon Hispanum, XII, 756-65","Perez de Heredia, Sinodos, 678-697",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
410,1339,1339,4,8,,,Barcelona,Barcelona,Tarragona,Spain,D643,,,41.383333,2.183333,,Diocesan,Ferrer de Abella,,1335,1344,,,Latin,,,,,,,"Synodicon Hispanum 13, 226-34","Bajet i Royo, Constituciones, 279-83",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
411,1343,1343,,,,,Barcelona,Barcelona,Tarragona,Spain,D643,,,41.383333,2.183333,,Other,Ferrer de Abella,,1335,1344,,Capitular constitutions,,,,,,,,"Martene, Thes, IV, 623-624",,,Not Started,GoogleBooks,,wait for SynHis edition,,
412,1269,1269,10,,,,Sens,Sens,Sens,France,,,,48.1975,3.2877,,Provincial,Pierre de Charny,,1267,1274,,,Latin,,,,,,,"Mansi 24, 3-8",,,Reviewed ,GoogleBooksData Capture,,,,
413,1388,1388,,,,,Murcia,Cartagena,[Holy See],Spain,D665,,,37.986111,-1.130278,[dependant on Holy See until 1492],Diocesan,Fernando de Pedrosa,,1383,1402,,,Old Spanish,,,,,,,"Synodicon Hispanum, XI, pp189-92","Sanz Sancho, Constituciones, 137-147",,Completed,Library ScanHard Copy Scan,Yes,,,
414,1323,1323,11,18,,,Murcia,Cartagena,[Holy See],Spain,D665,,,37.986111,-1.130278,[dependant on Holy See until 1492],Diocesan,Juan Munoz Gomez de Hinojosa,,1311,1326,,,Old Spanish,,,,,,,"Synodicon Hispanum, XI, 118-133","Sanz Sancho, Constituciones, 69-82",,Completed,Library ScanHard Copy Scan,Yes,,,
415,1278,1278,10,26,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Jazperto de Botonach ,,1276,1288,,,Latin,,,,,,,"Synodicon Hispanum, XII, 724-27","Perez de Heredia, Sinodos, 603-608",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
416,1280,1280,10,22,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Jazperto de Botonach ,,1276,1288,,,Latin,,,,,,,"Synodicon Hispanum, XII, 727-30","Perez de Heredia, Sinodos, 610-616",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
417,1320,1320,,,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Ramón de Gastón,,1312,1348,,,Latin,,,,,,,"Synodicon Hispanum, XII, 765-69","Perez de Heredia, Sinodos, 698-716",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
418,1351,1351,10,21,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Hugo de Fenollet ,,1348,1356,,,Latin,,,,,,,"Synodicon Hispanum, XII, 776-80","Perez de Heredia, Sinodos, 717-725",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
419,1357,1357,,,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Vidal de Blanes ,,1356,1369,,,Latin,,,,,,,"Synodicon Hispanum, XII, 780-85","Perez de Heredia, Sinodos, 725-735",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
420,1368,1368,,,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Vidal de Blanes ,,1356,1369,,,Latin,,,,,,,"Synodicon Hispanum, XII, 785-801","Perez de Heredia, Sinodos, 735-772",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
421,1370,1370,1,24,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Other,Jaume de Prades i de Foix,Jaime de Aragón,1369,1396,,Canons complain that bishop convoked a synod without their approval,Latin,,,,,,,"Synodicon Hispanum, XII, 801-802","Perez de Heredia, Sinodos, 773-776",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
422,1385,1385,7,18,,10-18 July,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Jaume de Prades i de Foix,Jaime de Aragón,1369,1396,,,Latin,,,,,,,"Synodicon Hispanum, XII, 805-14","Perez de Heredia, Sinodos, 779-798",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
423,1400,1400,10,15,,12-15 October,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Hug de Llupià i Bages,,1397,1427,,,Latin,,,,,,,"Synodicon Hispanum, XII, 814-20","Perez de Heredia, Sinodos, 799-830",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
424,1432,1432,2,2,,,Valencia,Valencia,Tarragona,Spain,D654,,,39.470239,-0.376805,,Diocesan,Alfonso de Borja,,1429,1455,,,Latin,,,,,,,"Synodicon Hispanum, XII, 832-39","Perez de Heredia, Sinodos, 831-842",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
425,1320,1320,4,13,,,Segorbe,Segorbe-Albarracín ,Tarragona,Spain,D613,,,39.85,-0.483333,,Diocesan,Sancho Dull,,1319,1356,,,Latin,,,,,,,"Synodicon Hispanum 13, 398-412","Zunzunegui, Sinodos Diocesanos, pp149-160",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
426,1323,1323,10,18,,,Segorbe,Segorbe-Albarracín ,Tarragona,Spain,D613,,,39.85,-0.483333,,Diocesan,Sancho Dull,,1319,1356,,,Latin,,,,,,,"Synodicon Hispanum 13, 412-418","Zunzunegui, Sinodos Diocesanos, pp160-165",,Reviewed ,Library ScanHard Copy Scan,Yes,,,
427,1328,1328,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 8v-19r",,"Ochoa Martinez, Dos sinodos, 128-150",,,Not Started,,,Wait for SynHis Edition,,
428,1338,1338,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 34v-39v",,"Ochoa Martinez, Dos sinodos, 151-159",,,Not Started,,,Wait for SynHis Edition,,
429,1325,1325,,,,,Huesca,Huesca,Zaragoza,Spain,D650,,,42.133333,-0.416667,becomes part of Zaragoza province in 1318,Diocesan,,,,,,,,,,,,"Catedral de Jaca, Libro de la Cadena (=MS 1), fols 73r-79r",,"Zunzunegui, Sinodos diocesanos de Huesca, 333-345 ",,,Not Started,,,Wait for SynHis Edition,,
430,1328,1328,,,,,Barbastro,Huesca,Tarragona,Spain,D650,,,42.033333,-0.116667,,Diocesan,,,,,,,,,,,,"Catedral de Jaca, Libro de la Cadena (=MS 1), fols 79v-84r",,"Zunzunegui, Sinodos diocesanos de Huesca, 345-353",,,Not Started,,,Wait for SynHis Edition,,
431,1352,1352,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 43v-50v",,"Ochoa Martinez, Sinodos, 320-332",,,Not Started,,,Wait for SynHis Edition,,
432,1357,1357,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 43v-50v",,"Ochoa Martinez, Sinodos, 333-345",,,Not Started,,,Wait for SynHis Edition,,
433,1371,1371 (ca.),,,Yes,precise year is unclear,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 43v-50v",,"Ochoa Martinez, Sinodos, 346-356",,,Not Started,,,Wait for SynHis Edition,,
434,1377,1377,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,D648,,,41.65,-0.883333,,Diocesan,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 43v-50v",,"Ochoa Martinez, Sinodos, 357-370",,,Not Started,,,Wait for SynHis Edition,,
435,1342,1342,,,,,Zaragoza,Zaragoza,Zaragoza,Spain,,,,41.65,-0.883333,,Provincial,,,,,,,,,,,,"Zaragoza, Biblioteca General Universitaria, MS 14, 8v-19r",,"Aznar Gil, 'Concilio Provincial de Zaragoza celebrado por Pedro López de Luna, 24 de abril de 1342', Escritos del Vedat 10 (1980) 77-95",,,Not Started,Hard Copy Scan,,,"Aznar Gil, Concilio provincial, 86-91",
436,1315,1311x1316,,,Yes,"Morenzoni (L'encadrement, 8) gives 1311x1317; Pontal repertoire gives ""early 14th-c""; can probably be dated to 1316 or earlier (see Binz, Vie Religieuse, 164, n2)",Geneva,Geneva,Vienne,Switzerland,D465,,,46.2,6.15,,Diocesan,Pierre de Faucigny,,1311,1342,,,Latin,,,,,"Geneva, AE, MS hist 47, f°129r-f°131r",,,,,Reviewed ,Digital MS,,,,
437,1335,1317x1335,,,Yes,"Binz (Vie Religieuse, 172, n3)  suggests (hesitantly) 1335",Geneva,Geneva,Vienne,Switzerland,D465,,,46.2,6.15,,Diocesan,Pierre de Faucigny,,1311,1342,,,Latin,,,,,"Geneva, AE, MS hist 47, f°141v-143v",,,,,Reviewed ,Digital MS,,,,
438,1336,1336,5,13,,,Geneva,Geneva,Vienne,Switzerland,D465,,,46.2,6.15,,Diocesan,Pierre de Faucigny,,1311,1342,,,Latin,,,,,"Geneva, AE, MS hist 47, f°143v-145v",,,,,Reviewed ,Digital MS,,,,
